experiment,variant,seed,strategy,travel_model,planning_travel_model,execution_travel_model,objective_mode,task_count,uav_count,weighted_delay,weighted_mean_delay,mean_delay,high_priority_mean_delay,makespan,total_travel_time,total_service_time,replanning_count,initial_planning_runtime,total_replanning_runtime,mean_replanning_runtime,max_replanning_runtime,total_algorithm_runtime,assignment_changes,successor_edge_changes,time_consistency_check,feasible,runner_wall_runtime,scenario_fingerprint
E4,full,1013,full,dubins,dubins,dubins,weighted_delay,20,3,1973.744247174435,18.107745386921422,22.913522963045367,15.85939976385446,71.3561505629995,159.38954017587037,76.36630151274245,10,0.06554080000023532,0.2120174000010593,0.02120174000010593,0.1102896000011242,0.2775582000012946,17,13,True,True,0.2808772999997018,ccf8aa59af2d36542617beb6743dc515a8699a45c84e583f1ce89d37960154f2
E4,local,1013,local,dubins,dubins,dubins,weighted_delay,20,3,2117.4654219153867,19.42628827445309,23.65501550630001,16.391186719462816,72.8599636848935,164.53347187319696,76.36630151274245,10,0.07079539999904227,0.05371010000271781,0.005371010000271781,0.018175700000938377,0.12450550000176008,10,11,True,True,0.12807679999968968,ccf8aa59af2d36542617beb6743dc515a8699a45c84e583f1ce89d37960154f2
E4,no_reorder,1014,no_reorder,dubins,dubins,dubins,weighted_delay,20,3,2443.0431764343557,20.358693136952965,24.091123943459422,17.268605825190008,82.0726699299283,184.9362581408645,74.37231421305987,10,0.054323399999702815,0.006738600000971928,0.0006738600000971928,0.0016840999996929895,0.06106200000067474,0,0,True,True,0.0639391999993677,3aaedda4226c8e220424c1bc8f1d03665ebe9998cf567a34dad06e65f472bc41
E4,full,1014,full,dubins,dubins,dubins,weighted_delay,20,3,2388.630941204114,19.905257843367618,23.674576144333678,16.918989814830592,73.9204495586389,167.58017741897157,74.37231421305987,10,0.05783190000147442,0.13710290000199166,0.013710290000199165,0.04643749999922875,0.19493480000346608,14,18,True,True,0.19856869999966875,3aaedda4226c8e220424c1bc8f1d03665ebe9998cf567a34dad06e65f472bc41
E4,local,1014,local,dubins,dubins,dubins,weighted_delay,20,3,2377.0510560818593,19.80875880068216,22.916492631433535,16.762587687082537,72.49934558129436,169.71244842487943,74.37231421305987,10,0.04937620000055176,0.04364199999690754,0.004364199999690755,0.01488219999919238,0.0930181999974593,8,11,True,True,0.0961289000006218,3aaedda4226c8e220424c1bc8f1d03665ebe9998cf567a34dad06e65f472bc41
E4,no_reorder,1015,no_reorder,dubins,dubins,dubins,weighted_delay,20,3,2268.5977676226253,18.90498139685521,25.321177666647607,15.959245787133687,85.62343827253551,179.7947646053503,83.0371078521821,10,0.060565899999346584,0.0066466000007494586,0.0006646600000749459,0.0009699000002001412,0.06721250000009604,0,0,True,True,0.06983209999998508,082327ff86e78dc801d3de3348edd45a8681c49616b965751f7f852f4b1a5869
E4,full,1015,full,dubins,dubins,dubins,weighted_delay,20,3,2237.6105589202743,18.646754657668954,24.217146063444222,16.258692217011244,77.1356323768422,168.9559907381361,83.0371078521821,10,0.0557952999988629,0.08178530000441242,0.008178530000441242,0.01642079999874113,0.13758060000327532,10,14,True,True,0.1409272000000783,082327ff86e78dc801d3de3348edd45a8681c49616b965751f7f852f4b1a5869
E4,local,1015,local,dubins,dubins,dubins,weighted_delay,20,3,2268.7588584061086,18.906323820050904,23.878021282643306,16.74597031080381,75.85288348435353,173.79392508246676,83.0371078521821,10,0.05984069999976782,0.030100099998890073,0.0030100099998890072,0.006714499999361578,0.0899407999986579,5,8,True,True,0.09265919999961625,082327ff86e78dc801d3de3348edd45a8681c49616b965751f7f852f4b1a5869
E4,no_reorder,1016,no_reorder,dubins,dubins,dubins,weighted_delay,20,3,3037.765461480686,23.189049324280045,30.108455001294857,19.40770123119508,86.31327590074788,161.23536066988507,88.9418880002415,10,0.07311920000029204,0.014144799999485258,0.0014144799999485258,0.0023145000013755634,0.0872639999997773,0,0,True,True,0.0909351999998762,8949ff6dab91c6d68f83a81a44011aca1c33902b4a6ee29250d25aff197c6caf
E4,full,1016,full,dubins,dubins,dubins,weighted_delay,20,3,3032.7273639324026,23.150590564369484,29.304807293811383,19.59861768725921,73.74756407491691,157.93637297904533,88.9418880002415,10,0.07031520000055025,0.2967681999980414,0.02967681999980414,0.060248499999943306,0.36708339999859163,26,45,True,True,0.3707570999995369,8949ff6dab91c6d68f83a81a44011aca1c33902b4a6ee29250d25aff197c6caf
E4,local,1016,local,dubins,dubins,dubins,weighted_delay,20,3,2946.340067420632,22.491145552829252,28.286556217202815,19.401320843305545,72.31528624483887,157.99283094345296,88.9418880002415,10,0.07218959999954677,0.12585150000086287,0.012585150000086287,0.026470000000699656,0.19804110000040964,10,18,True,True,0.20186160000048403,8949ff6dab91c6d68f83a81a44011aca1c33902b4a6ee29250d25aff197c6caf
