experiment,variant,seed,strategy,travel_model,planning_travel_model,execution_travel_model,objective_mode,task_count,uav_count,weighted_delay,weighted_mean_delay,mean_delay,high_priority_mean_delay,makespan,total_travel_time,total_service_time,active_uav_count,max_tasks_per_uav,min_tasks_per_active_uav,replanning_count,initial_planning_runtime,total_replanning_runtime,mean_replanning_runtime,max_replanning_runtime,total_algorithm_runtime,assignment_changes,successor_edge_changes,time_consistency_check,feasible,runner_wall_runtime,scenario_fingerprint
E2_v2,time_aware,1009,local,dubins,dubins,dubins,weighted_delay,20,3,1801.8896278463014,17.160853598536203,20.383994594323056,15.57445543248398,85.02773188245476,169.00540959531133,74.35072124314618,3,8,6,10,0.0651082000003953,0.014151199999105302,0.00141511999991053,0.0038675999985571252,0.0792593999995006,2,2,True,True,0.08149969999976747,59d5fc10227424859a17932f916a88e8931935be60d343322b2bef07f5be18c9
E2_v2,mission_completion,1009,local,dubins,dubins,dubins,makespan,20,3,2076.931984405677,19.7803046133874,18.283874145718507,21.596843934931254,84.73788036459476,150.52281288715275,74.35072124314618,3,8,6,10,0.05393960000037623,0.00764290000188339,0.0007642900001883391,0.0014774999999644933,0.06158250000225962,2,0,True,True,0.06347679999998945,59d5fc10227424859a17932f916a88e8931935be60d343322b2bef07f5be18c9
E2_v2,distance_oriented,1009,local,dubins,dubins,dubins,total_travel_time,20,3,7010.041217165769,66.76229730634066,61.07610154959601,71.85353645716577,159.75775142152662,85.40703017838045,74.35072124314618,1,20,20,10,0.04390170000078797,0.25910380000095756,0.025910380000095757,0.04390860000057728,0.30300550000174553,0,16,True,True,0.30667170000015176,59d5fc10227424859a17932f916a88e8931935be60d343322b2bef07f5be18c9
E2_v2,time_aware,1010,local,dubins,dubins,dubins,weighted_delay,20,3,3175.9296020961465,22.685211443543903,25.121545531844056,20.237213164362664,96.43878162539589,187.4517518973709,88.76461610302128,3,8,6,10,0.04519549999895389,0.0401129999972909,0.00401129999972909,0.01305049999973562,0.08530849999624479,9,8,True,True,0.08821130000069388,1869ca5c28bbda9783a20b243d73b3d93d0c9dc2e12806f72db45732b060479d
E2_v2,mission_completion,1010,local,dubins,dubins,dubins,makespan,20,3,3707.3524458042907,26.481088898602078,26.077585560287577,26.313287625135487,94.04922932711966,180.8832812604084,88.76461610302128,3,7,6,10,0.05730790000052366,0.040923999997176,0.0040923999997175995,0.011963299999479204,0.09823189999769966,6,11,True,True,0.10115390000100888,1869ca5c28bbda9783a20b243d73b3d93d0c9dc2e12806f72db45732b060479d
E2_v2,distance_oriented,1010,local,dubins,dubins,dubins,total_travel_time,20,3,10717.917004415607,76.55655003154006,81.38043211849818,71.27043312771923,196.5270097011746,107.76239359815328,88.76461610302128,1,20,20,10,0.06027820000053907,0.3048692000011215,0.03048692000011215,0.04662339999958931,0.36514740000166057,0,12,True,True,0.3690105000005133,1869ca5c28bbda9783a20b243d73b3d93d0c9dc2e12806f72db45732b060479d
E2_v2,time_aware,1011,local,dubins,dubins,dubins,weighted_delay,20,3,1646.6577110958906,17.517635224424367,23.435682997639375,13.835358399838455,83.46754228911617,164.59555890584008,79.67199630422755,3,7,6,10,0.05330159999903117,0.025988799998231116,0.0025988799998231116,0.007743200001641526,0.07929039999726228,5,4,True,True,0.08221430000048713,84e1ef84e26c149f9976481e51b4d6bcd4ca3f787ac6e8c54689347ecc9d2b53
E2_v2,mission_completion,1011,local,dubins,dubins,dubins,makespan,20,3,2098.743363057895,22.32705705380739,20.647880612916737,25.84576589468616,78.48638159642215,148.5052572804959,79.67199630422755,3,8,6,10,0.1139973999997892,0.027545100001589162,0.0027545100001589162,0.009901599998556776,0.14154250000137836,5,6,True,True,0.14432790000137175,84e1ef84e26c149f9976481e51b4d6bcd4ca3f787ac6e8c54689347ecc9d2b53
E2_v2,distance_oriented,1011,local,dubins,dubins,dubins,total_travel_time,20,3,7604.365313154841,80.89750333143448,80.31200941593268,71.48826296606167,175.19550340129723,95.52350709706965,79.67199630422755,1,20,20,10,0.04360459999952582,0.3695455999986734,0.03695455999986734,0.06955399999969814,0.41315019999819924,0,16,True,True,0.4169071999986045,84e1ef84e26c149f9976481e51b4d6bcd4ca3f787ac6e8c54689347ecc9d2b53
E2_v2,time_aware,1012,local,dubins,dubins,dubins,weighted_delay,20,3,1714.782138140936,18.242363171712086,21.73830817710193,14.956002999806545,94.47697206022563,172.91973869995098,76.45062799188557,3,7,6,10,0.08282479999979842,0.014643800001067575,0.0014643800001067574,0.004680799998823204,0.09746860000086599,4,3,True,True,0.10007279999990715,5aa74fa4f62493624adc083d7764a9479d1906f1685d15b69cc5c48ea98be7dc
