scale,strategy,metric,n,mean,std,median,min,max,ci95_lower,ci95_upper
medium,full,total_replanning_runtime,10,1.796861670006183,1.0949497552806047,1.3481749500206206,0.9136886000269442,4.581576800002949,1.1182047805805677,2.4755185594317983
medium,full,mean_replanning_runtime,10,0.07187446680024727,0.04379799021122417,0.0539269980008248,0.0365475440010777,0.1832630720001179,0.04472819122322267,0.09902074237727188
medium,full,max_replanning_runtime,10,0.30220323000030475,0.07586657964639465,0.27281315000072937,0.2570688999985577,0.5088124999965657,0.2551806367663457,0.34922582323426377
medium,full,total_algorithm_runtime,10,2.582359440004802,1.0993251093995149,2.134446250016481,1.7043319000222257,5.383996300006402,1.9009906780004182,3.2637282020091862
medium,full,runner_wall_runtime,10,2.5903205800008435,1.0999199135917128,2.1421424500040303,1.7126742000036757,5.393517399999837,1.9085831545386638,3.2720580054630233
medium,full,assignment_changes,10,59.6,15.917844633548155,54.5,45.0,95.0,49.73401768139071,69.46598231860929
medium,full,successor_edge_changes,10,83.7,40.17199134831243,75.0,49.0,178.0,58.80114180217183,108.59885819782818
medium,full,total_travel_time,10,358.2526795865002,14.688813901544199,360.7065394201882,336.17195952708823,376.7867266385084,349.14845840767634,367.3569007653241
medium,full,active_uav_count,10,5.0,0.0,5.0,5.0,5.0,5.0,5.0
medium,local,weighted_delay,10,5659.600715669296,453.6237333569143,5497.666363084512,5114.87893230226,6614.5688743740775,5378.441812838413,5940.7596185001785
medium,local,weighted_mean_delay,10,20.688334446917732,1.3371400852693356,20.525551895402053,18.991297025919486,23.70813216621533,19.85956643576581,21.517102458069655
medium,local,high_priority_mean_delay,10,17.19679614546315,1.3305050215519516,16.82644133011048,15.967304042236702,19.64200882437528,16.372140589409614,18.021451701516686
medium,local,mean_delay,10,26.019675148925693,1.9469780793605869,25.982883969755157,22.549920515106123,28.74251114630122,24.812925633026587,27.226424664824798
medium,local,makespan,10,123.04108848141023,4.935160120038841,121.62068835420258,115.10088635082714,129.35076698855204,119.9822445484075,126.09993241441296
medium,local,initial_planning_runtime,10,0.7815984800014121,0.03864553139298099,0.7854276500038395,0.7361786000037682,0.860975800002052,0.7576457314858976,0.8055512285169265
