experiment,variant,scale,seed,strategy,travel_model,planning_travel_model,execution_travel_model,objective_mode,task_count,uav_count,weighted_delay,weighted_mean_delay,mean_delay,high_priority_mean_delay,makespan,total_travel_time,total_service_time,active_uav_count,max_tasks_per_uav,min_tasks_per_active_uav,replanning_count,initial_planning_runtime,total_replanning_runtime,mean_replanning_runtime,max_replanning_runtime,total_algorithm_runtime,assignment_changes,successor_edge_changes,time_consistency_check,feasible,runner_wall_runtime,scenario_fingerprint,run_status,initial_task_count,dynamic_task_count,total_task_count,completed_task_count,all_uavs_returned,time_consistency_pass,error_type,error_message
E5,local,medium,2004,local,dubins,dubins,dubins,weighted_delay,50,5,5423.852811080794,20.01421701505828,26.23189559848977,16.80688151928022,115.10088635082714,345.516488443821,201.27825987228837,5,12,9,25,0.764416899997741,0.14155439999740338,0.005662175999896135,0.031828699997277,0.9059712999951444,19,27,True,True,0.9130951000042842,1757208cf575b36a146991fcda820f0f9bfaba0796dc54d07ad909f6a2520902,completed,25,25,50,50,True,True,,
E5,no_reorder,medium,2005,no_reorder,dubins,dubins,dubins,weighted_delay,50,5,5315.793327310376,20.21214192893679,26.03633988201152,16.354621224026726,120.22594036324088,366.5717427993444,201.22789406069546,5,11,9,25,0.7623842000029981,0.038301100008538924,0.001532044000341557,0.005709400000341702,0.800685300011537,0,0,True,True,0.8081382000018493,b1ff7a5e3e50214d0b60d1e5e08bd83dfbe53cf101a6025d58668082d9f0addd,completed,25,25,50,50,True,True,,
E5,full,medium,2005,full,dubins,dubins,dubins,weighted_delay,50,5,5325.95118411294,20.250764958604332,26.965943597825493,16.7274092035654,119.69684727523602,356.6350923004777,201.22789406069546,5,11,9,25,0.7389925999959814,1.4388849000170012,0.05755539600068005,0.2953960000013467,2.1778775000129826,64,74,True,True,2.1857779000056325,b1ff7a5e3e50214d0b60d1e5e08bd83dfbe53cf101a6025d58668082d9f0addd,completed,25,25,50,50,True,True,,
E5,local,medium,2005,local,dubins,dubins,dubins,weighted_delay,50,5,5317.37239580278,20.218145991645553,25.733872341020543,17.35163160552346,120.4165550081912,358.4882898155733,201.22789406069546,5,11,9,25,0.7361786000037682,0.15910430001531495,0.006364172000612598,0.03177280000090832,0.8952829000190832,15,21,True,True,0.9024743000045419,b1ff7a5e3e50214d0b60d1e5e08bd83dfbe53cf101a6025d58668082d9f0addd,completed,25,25,50,50,True,True,,
E5,no_reorder,medium,2006,no_reorder,dubins,dubins,dubins,weighted_delay,50,5,5180.73931443285,19.47646358809342,24.46573993668959,17.253560233898217,124.54166766458609,374.7669719670927,201.74015099089073,5,12,9,25,0.7599993000039831,0.031768200009537395,0.0012707280003814959,0.003947099998185877,0.7917675000135205,0,0,True,True,0.7990463000023738,79edf26bd755e7b0ca72c35889071b4a6110564f2874d9480e09d5e9c145ceb3,completed,25,25,50,50,True,True,,
E5,full,medium,2006,full,dubins,dubins,dubins,weighted_delay,50,5,5063.279491921068,19.03488530797394,24.193303051232384,16.507596308130708,127.63566792127291,373.7254526810094,201.74015099089073,5,12,8,25,0.7827985999974771,1.2119339000128093,0.048477356000512374,0.2625105000042822,1.9947325000102865,54,67,True,True,2.0011945000005653,79edf26bd755e7b0ca72c35889071b4a6110564f2874d9480e09d5e9c145ceb3,completed,25,25,50,50,True,True,,
E5,local,medium,2006,local,dubins,dubins,dubins,weighted_delay,50,5,5114.87893230226,19.22886816654985,24.3644362752767,16.89320402188318,129.35076698855204,392.0615792755881,201.74015099089073,5,11,9,25,0.7927315000051749,0.1834174000105122,0.0073366960004204885,0.03507629999512574,0.9761489000156871,14,13,True,True,0.9842537999938941,79edf26bd755e7b0ca72c35889071b4a6110564f2874d9480e09d5e9c145ceb3,completed,25,25,50,50,True,True,,
E5,no_reorder,medium,2007,no_reorder,dubins,dubins,dubins,weighted_delay,50,5,5666.003113853547,20.60364768674017,25.21615106304083,16.718513250119038,119.91873006666665,381.17745707327134,190.5550986448777,5,11,9,25,0.9116319000022486,0.033697999992000405,0.0013479199996800162,0.005041199998231605,0.945329899994249,0,0,True,True,0.9526961000010488,889f69685877a4deb32387485dd90724ed5ad68c2207ade0e7786b5e5cf16524,completed,25,25,50,50,True,True,,
E5,full,medium,2007,full,dubins,dubins,dubins,weighted_delay,50,5,5508.767348304769,20.0318812665628,24.8214951505928,15.399963405627878,118.41862646169203,370.05112746915114,190.5550986448777,5,11,9,25,0.8149524000036763,1.1173674000092433,0.04469469600036973,0.3097974999982398,1.9323198000129196,49,49,True,True,1.9400284000003012,889f69685877a4deb32387485dd90724ed5ad68c2207ade0e7786b5e5cf16524,completed,25,25,50,50,True,True,,
E5,local,medium,2007,local,dubins,dubins,dubins,weighted_delay,50,5,5571.479915088231,20.259926963957202,24.94321505561845,16.124750086912986,117.90898186748134,361.64059102675884,190.5550986448777,5,10,10,25,0.794470500004536,0.15083490001416067,0.006033396000566427,0.038677099997585174,0.9453054000186967,16,15,True,True,0.9532966999977361,889f69685877a4deb32387485dd90724ed5ad68c2207ade0e7786b5e5cf16524,completed,25,25,50,50,True,True,,
